,leaf_size,n_neighbors,cross validation score,macro recall,deceased recall,micro recall
0,1,1,0.6426666666666666,1.0,1.0,1.0
1,1,3,0.548,0.6899559510121862,0.375,0.816
2,1,9,0.5293333333333333,0.4555296913537176,0.0,0.6426666666666667
3,1,29,0.5106666666666667,0.3488381017677235,0.0,0.5306666666666666
4,3,1,0.6386666666666666,1.0,1.0,1.0
5,3,3,0.5533333333333333,0.6899195279295459,0.375,0.8146666666666667
6,3,9,0.532,0.4546765076615509,0.0,0.6413333333333333
7,3,29,0.5106666666666667,0.3471746798712508,0.0,0.528
8,15,1,0.636,1.0,1.0,1.0
9,15,3,0.552,0.6899588140447104,0.375,0.816
10,15,9,0.5346666666666667,0.4521484499428152,0.0,0.6373333333333333
11,15,29,0.5106666666666667,0.3520707878155403,0.0,0.5306666666666666
12,60,1,0.636,1.0,1.0,1.0
13,60,3,0.5533333333333333,0.6899588140447104,0.375,0.816
14,60,9,0.5293333333333333,0.45046212378615,0.0,0.6346666666666667
15,60,29,0.5226666666666667,0.3522365213737702,0.0,0.536
